coef1_index,coef3_index,coef1,coef3,index,input_i,output_i,output_q,gain_linear,compression_db,saturated
0,0,0.4,-0.7,0,0,0,0,0.0,0.0,0
0,0,0.4,-0.7,1,236,94,0,0.3983050847457627,0.0,0
0,0,0.4,-0.7,2,472,189,0,0.4004237288135593,0.0,0
0,0,0.4,-0.7,3,709,283,0,0.3991537376586742,0.0,0
0,0,0.4,-0.7,4,945,377,0,0.39894179894179893,0.0,0
0,0,0.4,-0.7,5,1181,471,0,0.3988145639288738,0.0,0
0,0,0.4,-0.7,6,1417,565,0,0.3987297106563162,-0.0018482388680641309,0
0,0,0.4,-0.7,7,1654,659,0,0.3984280532043531,-0.008422002757986961,0
0,0,0.4,-0.7,8,1890,752,0,0.3978835978835979,-0.020299461939665215,0
0,0,0.4,-0.7,9,2126,844,0,0.3969896519285042,-0.039836461540085744,0
0,0,0.4,-0.7,10,2362,936,0,0.39627434377646065,-0.055501081095441815,0
0,0,0.4,-0.7,11,2598,1028,0,0.39568899153194764,-0.06834083186267058,0
0,0,0.4,-0.7,12,2835,1119,0,0.39470899470899473,-0.08987972431913376,0
0,0,0.4,-0.7,13,3071,1210,0,0.39400846629762293,-0.10530911284000352,0
0,0,0.4,-0.7,14,3307,1299,0,0.39280314484426976,-0.13192106712112558,0
0,0,0.4,-0.7,15,3543,1388,0,0.3917583968388371,-0.15505391459445067,0
0,0,0.4,-0.7,16,3780,1477,0,0.3907407407407407,-0.1776462808131443,0
0,0,0.4,-0.7,17,4016,1564,0,0.3894422310756972,-0.20655929857030228,0
0,0,0.4,-0.7,18,4252,1651,0,0.3882878645343368,-0.2323438420769371,0
0,0,0.4,-0.7,19,4488,1736,0,0.3868092691622103,-0.26548273846026593,0
0,0,0.4,-0.7,20,4724,1821,0,0.3854784081287045,-0.2954190532387704,0
0,0,0.4,-0.7,21,4961,1905,0,0.38399516226567226,-0.32890513079857653,0
0,0,0.4,-0.7,22,5197,1987,0,0.382335963055609,-0.3665171845685136,0
0,0,0.4,-0.7,23,5433,2069,0,0.3808209092582367,-0.4010044776673526,0
0,0,0.4,-0.7,24,5669,2149,0,0.3790792026812489,-0.44082102029816156,0
0,0,0.4,-0.7,25,5906,2228,0,0.3772434812055537,-0.48298531285499435,0
0,0,0.4,-0.7,26,6142,2306,0,0.37544773689352,-0.5244303732750252,0
0,0,0.4,-0.7,27,6378,2382,0,0.37347130761994357,-0.5702753455112604,0
0,0,0.4,-0.7,28,6614,2457,0,0.3714847293619595,-0.6166008722596897,0
0,0,0.4,-0.7,29,6850,2530,0,0.36934306569343067,-0.6668211966397802,0
0,0,0.4,-0.7,30,7087,2603,0,0.3672922252010724,-0.7151854833532432,0
0,0,0.4,-0.7,31,7323,2673,0,0.3650143383859074,-0.7692216979139032,0
0,0,0.4,-0.7,32,7559,2742,0,0.3627463950257971,-0.8233580880671282,0
0,0,0.4,-0.7,33,7795,2809,0,0.3603592046183451,-0.8807077967732755,0
0,0,0.4,-0.7,34,8031,2875,0,0.3579877972855186,-0.9380557279265431,0
0,0,0.4,-0.7,35,8268,2939,0,0.3554668601838413,-0.9994378279603886,0
0,0,0.4,-0.7,36,8504,3001,0,0.352892756349953,-1.0625653121153813,0
0,0,0.4,-0.7,37,8740,3061,0,0.35022883295194507,-1.1283822510489954,0
0,0,0.4,-0.7,38,8976,3119,0,0.34748217468805703,-1.1967695734064756,0
0,0,0.4,-0.7,39,9213,3175,0,0.34462173016389885,-1.2685670210023645,0
0,0,0.4,-0.7,40,9449,3230,0,0.3418351148269658,-1.3390867234749158,0
