family,curve_index,coef1,coef3,mean_abs_delta_lsb,max_abs_delta_lsb,mean_signed_delta_lsb,maximum_output,overflow,monotonic_between_curves
coef1,0,0.68,0.2,280.2578125,560.0,-280.2578125,23129,0,1
coef1,1,0.69,0.2,140.13671875,280.0,-140.13671875,23409,0,1
coef1,2,0.7,0.2,0.0,0.0,0.0,23689,0,1
coef1,3,0.71,0.2,139.7265625,280.0,139.7265625,23969,0,1
coef1,4,0.72,0.2,279.8515625,560.0,279.8515625,24249,0,1
coef3,0,0.7,0.18,102.71875,409.0,-102.71875,23280,0,1
coef3,1,0.7,0.19,51.36328125,204.0,-51.36328125,23485,0,1
coef3,2,0.7,0.2,0.0,0.0,0.0,23689,0,1
coef3,3,0.7,0.21,51.1953125,204.0,51.1953125,23893,0,1
coef3,4,0.7,0.22,102.5703125,409.0,102.5703125,24098,0,1
