checkpoint,samples,cycle,time_seconds,average_samples_per_cycle,throughput_samples_per_second
1,100000,100005,0.00100005,0.999950002499875,99995000.2499875
2,200000,200005,0.00200005,0.9999750006249843,99997500.06249844
3,300000,300005,0.00300005,0.9999833336111065,99998333.36111064
4,400000,400005,0.00400005,0.999987500156248,99998750.0156248
5,500000,500005,0.00500005,0.999990000099999,99999000.0099999
6,600000,600005,0.00600005,0.9999916667361105,99999166.67361106
7,700000,700005,0.00700005,0.9999928571938772,99999285.71938772
8,800000,800005,0.00800005,0.9999937500390622,99999375.00390622
9,900000,900005,0.00900005,0.9999944444753085,99999444.44753085
10,1000000,1000005,0.01000005,0.9999950000249999,99999500.00249998
