run,target_samples,samples_sent,samples_received,latency_min,latency_max,latency_sum,total_cycles,overflow_events,saturation_positive,saturation_negative,coefficient_updates,high_amplitude_samples,fifo_errors,losses,duplicates,reorder,input_signature,output_signature,latency_average,jitter,hardware_time_seconds,throughput_msps,wall_time_seconds,passed
1,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.0318392000044696,1
2,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.03200140001717955,1
3,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.032077299954835325,1
4,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.032059699995443225,1
5,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.03187960002105683,1
6,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.03192160004982725,1
7,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.0319259999669157,1
8,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.03197500004898757,1
9,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.032058199984021485,1
10,1000000,1000000,1000000,6,6,6000000,1000006,19984,11178,11218,3906,102045,0,0,0,0,1311284570,4009762410,6.0,0,0.01000006,99.99940000359999,0.03196089999983087,1
