index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic
0,0,0,0.0,0,0,0.0,0.0,0,1
1,118,0,118.0,89,0,89.0,0.7542372881355932,0,1
2,235,0,235.0,176,0,176.0,0.7489361702127659,0,1
3,353,0,353.0,265,0,265.0,0.7507082152974505,0,1
4,471,0,471.0,353,0,353.0,0.7494692144373672,0,1
5,588,0,588.0,441,0,441.0,0.75,0,1
6,706,0,706.0,530,0,530.0,0.7507082152974505,0,1
7,824,0,824.0,618,0,618.0,0.75,0,1
8,941,0,941.0,706,0,706.0,0.7502656748140276,0,1
9,1059,0,1059.0,794,0,794.0,0.7497639282341831,0,1
10,1176,0,1176.0,882,0,882.0,0.75,0,1
11,1294,0,1294.0,971,0,971.0,0.750386398763524,0,1
12,1412,0,1412.0,1059,0,1059.0,0.75,0,1
13,1529,0,1529.0,1147,0,1147.0,0.750163505559189,0,1
14,1647,0,1647.0,1236,0,1236.0,0.7504553734061931,0,1
15,1765,0,1765.0,1324,0,1324.0,0.75014164305949,0,1
16,1882,0,1882.0,1412,0,1412.0,0.7502656748140276,0,1
17,2000,0,2000.0,1501,0,1501.0,0.7505,0,1
18,2118,0,2118.0,1590,0,1590.0,0.7507082152974505,0,1
19,2235,0,2235.0,1678,0,1678.0,0.7507829977628635,0,1
20,2353,0,2353.0,1766,0,1766.0,0.7505312367190821,0,1
21,2471,0,2471.0,1855,0,1855.0,0.7507082152974505,0,1
22,2588,0,2588.0,1943,0,1943.0,0.750772797527048,0,1
23,2706,0,2706.0,2032,0,2032.0,0.7509238728750924,0,1
24,2824,0,2824.0,2121,0,2121.0,0.7510623229461756,0,1
25,2941,0,2941.0,2209,0,2209.0,0.7511050663039782,0,1
26,3059,0,3059.0,2298,0,2298.0,0.7512258908139915,0,1
27,3176,0,3176.0,2386,0,2386.0,0.7512594458438288,0,1
28,3294,0,3294.0,2475,0,2475.0,0.7513661202185792,0,1
29,3412,0,3412.0,2564,0,2564.0,0.7514654161781946,0,1
30,3529,0,3529.0,2652,0,2652.0,0.7514876735619156,0,1
31,3647,0,3647.0,2741,0,2741.0,0.7515766383328764,0,1
32,3765,0,3765.0,2830,0,2830.0,0.751660026560425,0,1
33,3882,0,3882.0,2918,0,2918.0,0.7516743946419372,0,1
34,4000,0,4000.0,3007,0,3007.0,0.75175,0,1
35,4118,0,4118.0,3097,0,3097.0,0.7520641087906751,0,1
36,4235,0,4235.0,3185,0,3185.0,0.7520661157024794,0,1
37,4353,0,4353.0,3274,0,3274.0,0.7521249712841719,0,1
38,4471,0,4471.0,3364,0,3364.0,0.7524043838067547,0,1
39,4588,0,4588.0,3452,0,3452.0,0.7523975588491717,0,1
40,4706,0,4706.0,3542,0,3542.0,0.7526561835954101,0,1
41,4824,0,4824.0,3631,0,3631.0,0.7526948590381426,0,1
