index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic
0,0,0,0.0,0,0,0.0,0,0,1
1,118,0,118.0,47,0,47.0,0.3983050847457627,0,1
2,235,0,235.0,94,0,94.0,0.4,0,1
3,353,0,353.0,141,0,141.0,0.39943342776203966,0,1
4,471,0,471.0,188,0,188.0,0.3991507430997877,0,1
5,588,0,588.0,235,0,235.0,0.39965986394557823,0,1
6,706,0,706.0,283,0,283.0,0.40084985835694054,0,1
7,824,0,824.0,330,0,330.0,0.40048543689320387,0,1
8,941,0,941.0,377,0,377.0,0.40063761955366634,0,1
9,1059,0,1059.0,424,0,424.0,0.4003777148253069,0,1
10,1176,0,1176.0,471,0,471.0,0.4005102040816326,0,1
11,1294,0,1294.0,519,0,519.0,0.40108191653786707,0,1
12,1412,0,1412.0,566,0,566.0,0.40084985835694054,0,1
13,1529,0,1529.0,614,0,614.0,0.40156965336821454,0,1
14,1647,0,1647.0,661,0,661.0,0.4013357619914997,0,1
15,1765,0,1765.0,709,0,709.0,0.401699716713881,0,1
16,1882,0,1882.0,757,0,757.0,0.4022316684378321,0,1
17,2000,0,2000.0,805,0,805.0,0.4025,0,1
18,2118,0,2118.0,853,0,853.0,0.40273843248347496,0,1
19,2235,0,2235.0,901,0,901.0,0.40313199105145414,0,1
20,2353,0,2353.0,949,0,949.0,0.40331491712707185,0,1
21,2471,0,2471.0,998,0,998.0,0.4038850667745852,0,1
22,2588,0,2588.0,1046,0,1046.0,0.4041731066460587,0,1
23,2706,0,2706.0,1094,0,1094.0,0.4042867701404287,0,1
24,2824,0,2824.0,1143,0,1143.0,0.4047450424929179,0,1
25,2941,0,2941.0,1192,0,1192.0,0.4053043182590955,0,1
26,3059,0,3059.0,1241,0,1241.0,0.40568813337692056,0,1
27,3176,0,3176.0,1290,0,1290.0,0.4061712846347607,0,1
28,3294,0,3294.0,1339,0,1339.0,0.40649666059502126,0,1
29,3412,0,3412.0,1389,0,1389.0,0.4070926143024619,0,1
30,3529,0,3529.0,1438,0,1438.0,0.40748087276848965,0,1
31,3647,0,3647.0,1488,0,1488.0,0.4080065807513024,0,1
32,3765,0,3765.0,1538,0,1538.0,0.4084993359893758,0,1
33,3882,0,3882.0,1588,0,1588.0,0.40906749098402884,0,1
34,4000,0,4000.0,1639,0,1639.0,0.40975,0,1
35,4118,0,4118.0,1689,0,1689.0,0.41015055852355514,0,1
36,4235,0,4235.0,1740,0,1740.0,0.41086186540731995,0,1
37,4353,0,4353.0,1791,0,1791.0,0.4114403859407305,0,1
38,4471,0,4471.0,1842,0,1842.0,0.4119883694922836,0,1
39,4588,0,4588.0,1894,0,1894.0,0.4128160418482999,0,1
40,4706,0,4706.0,1945,0,1945.0,0.41330216744581383,0,1
41,4824,0,4824.0,1998,0,1998.0,0.4141791044776119,0,1
42,4941,0,4941.0,2049,0,2049.0,0.4146933819064967,0,1
43,5059,0,5059.0,2102,0,2102.0,0.41549713382091324,0,1
44,5176,0,5176.0,2154,0,2154.0,0.41615146831530136,0,1
45,5294,0,5294.0,2207,0,2207.0,0.4168870419342652,0,1
46,5412,0,5412.0,2261,0,2261.0,0.41777531411677754,0,1
47,5529,0,5529.0,2314,0,2314.0,0.4185205281244348,0,1
48,5647,0,5647.0,2368,0,2368.0,0.4193377014343899,0,1
49,5765,0,5765.0,2422,0,2422.0,0.42012142237640937,0,1
50,5882,0,5882.0,2476,0,2476.0,0.42094525671540295,0,1
51,6000,0,6000.0,2531,0,2531.0,0.42183333333333334,0,1
52,6118,0,6118.0,2586,0,2586.0,0.42268715266426937,0,1
53,6235,0,6235.0,2641,0,2641.0,0.4235765838011227,0,1
54,6353,0,6353.0,2696,0,2696.0,0.42436644105147175,0,1
55,6471,0,6471.0,2752,0,2752.0,0.42528202750734045,0,1
56,6588,0,6588.0,2808,0,2808.0,0.4262295081967213,0,1
57,6706,0,6706.0,2865,0,2865.0,0.42722934685356395,0,1
58,6824,0,6824.0,2922,0,2922.0,0.42819460726846426,0,1
59,6941,0,6941.0,2979,0,2979.0,0.4291888776833309,0,1
60,7059,0,7059.0,3036,0,3036.0,0.4300892477688058,0,1
61,7176,0,7176.0,3094,0,3094.0,0.4311594202898551,0,1
62,7294,0,7294.0,3152,0,3152.0,0.4321360021935838,0,1
63,7412,0,7412.0,3211,0,3211.0,0.4332164058283864,0,1
64,7529,0,7529.0,3270,0,3270.0,0.4343206269092841,0,1
65,7647,0,7647.0,3329,0,3329.0,0.4353341179547535,0,1
66,7765,0,7765.0,3389,0,3389.0,0.4364455891822279,0,1
67,7882,0,7882.0,3449,0,3449.0,0.4375792945952804,0,1
68,8000,0,8000.0,3510,0,3510.0,0.43875,0,1
69,8118,0,8118.0,3571,0,3571.0,0.43988667159398864,0,1
70,8235,0,8235.0,3632,0,3632.0,0.4410443230115361,0,1
71,8353,0,8353.0,3694,0,3694.0,0.44223632227942056,0,1
72,8471,0,8471.0,3756,0,3756.0,0.44339511273757526,0,1
73,8588,0,8588.0,3819,0,3819.0,0.4446902654867257,0,1
74,8706,0,8706.0,3882,0,3882.0,0.44589937973811167,0,1
75,8824,0,8824.0,3945,0,3945.0,0.44707615593834993,0,1
76,8941,0,8941.0,4009,0,4009.0,0.44838384968124373,0,1
77,9059,0,9059.0,4074,0,4074.0,0.4497185119770394,0,1
78,9176,0,9176.0,4138,0,4138.0,0.4509590235396687,0,1
79,9294,0,9294.0,4204,0,4204.0,0.45233483968151494,0,1
80,9412,0,9412.0,4269,0,4269.0,0.4535699107522312,0,1
81,9529,0,9529.0,4335,0,4335.0,0.4549270647497114,0,1
82,9647,0,9647.0,4402,0,4402.0,0.4563076604125635,0,1
83,9765,0,9765.0,4470,0,4470.0,0.4577572964669739,0,1
84,9882,0,9882.0,4537,0,4537.0,0.45911758753288806,0,1
85,10000,0,10000.0,4605,0,4605.0,0.4605,0,1
86,10118,0,10118.0,4674,0,4674.0,0.4619490017790077,0,1
87,10235,0,10235.0,4743,0,4743.0,0.46340986809965806,0,1
88,10353,0,10353.0,4813,0,4813.0,0.4648894040374771,0,1
89,10471,0,10471.0,4883,0,4883.0,0.4663355935440741,0,1
90,10588,0,10588.0,4954,0,4954.0,0.46788817529278426,0,1
91,10706,0,10706.0,5025,0,5025.0,0.4693629740332524,0,1
92,10824,0,10824.0,5097,0,5097.0,0.4708980044345898,0,1
93,10941,0,10941.0,5169,0,5169.0,0.472443103921031,0,1
94,11059,0,11059.0,5242,0,5242.0,0.4740030744190252,0,1
95,11176,0,11176.0,5315,0,5315.0,0.4755726556907659,0,1
96,11294,0,11294.0,5390,0,5390.0,0.4772445546307774,0,1
97,11412,0,11412.0,5464,0,5464.0,0.47879425166491413,0,1
