profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,0,117,0,117.0,47,0,47.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,1,234,0,234.0,94,0,94.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,2,352,0,352.0,141,0,141.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,3,469,0,469.0,188,0,188.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,4,586,0,586.0,234,0,234.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,5,703,0,703.0,281,0,281.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,6,820,0,820.0,328,0,328.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,7,938,0,938.0,375,0,375.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,8,1055,0,1055.0,422,0,422.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,9,1172,0,1172.0,469,0,469.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,10,1289,0,1289.0,516,0,516.0,0.0
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,11,1406,0,1406.0,562,1,562.0008896790112,0.10194967801558666
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,12,1523,0,1523.0,609,1,609.000821017509,0.0940816552019056
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,13,1641,0,1641.0,656,1,656.0007621946792,0.0873410596531861
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,14,1758,0,1758.0,703,1,703.0007112371935,0.08150176510435159
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,15,1875,0,1875.0,750,1,750.0006666663704,0.07639432741341867
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,16,1992,0,1992.0,797,1,797.0006273523252,0.07188927157651441
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,17,2109,0,2109.0,844,2,844.0023696649198,0.1357717352336169
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,18,2227,0,2227.0,891,2,891.0022446660839,0.128609839022168
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,19,2344,0,2344.0,938,2,938.0021321937387,0.12216565604720667
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,20,2461,0,2461.0,984,3,984.0045731601048,0.17468171338858504
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,21,2578,0,2578.0,1031,3,1031.0043646852325,0.1667185775201163
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,22,2695,0,2695.0,1078,4,1078.0074211247343,0.21259931932763687
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,23,2812,0,2812.0,1125,4,1125.0071110886365,0.20371746869678367
