index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic,readback_stable
0,0,0,0.0,0,0,0.0,0,0,1,1
1,118,0,118.0,35,0,35.0,0.2966101694915254,0,1,1
2,235,0,235.0,71,0,71.0,0.3021276595744681,0,1,1
3,353,0,353.0,106,0,106.0,0.3002832861189802,0,1,1
4,471,0,471.0,141,0,141.0,0.29936305732484075,0,1,1
5,588,0,588.0,177,0,177.0,0.3010204081632653,0,1,1
6,706,0,706.0,212,0,212.0,0.3002832861189802,0,1,1
7,824,0,824.0,248,0,248.0,0.30097087378640774,0,1,1
8,941,0,941.0,283,0,283.0,0.3007438894792774,0,1,1
9,1059,0,1059.0,318,0,318.0,0.3002832861189802,0,1,1
10,1176,0,1176.0,354,0,354.0,0.3010204081632653,0,1,1
11,1294,0,1294.0,390,0,390.0,0.30139103554868624,0,1,1
12,1412,0,1412.0,425,0,425.0,0.3009915014164306,0,1,1
13,1529,0,1529.0,461,0,461.0,0.30150425114453894,0,1,1
14,1647,0,1647.0,497,0,497.0,0.3017607771706132,0,1,1
15,1765,0,1765.0,533,0,533.0,0.30198300283286117,0,1,1
16,1882,0,1882.0,569,0,569.0,0.30233793836344314,0,1,1
17,2000,0,2000.0,605,0,605.0,0.3025,0,1,1
18,2118,0,2118.0,642,0,642.0,0.3031161473087819,0,1,1
19,2235,0,2235.0,678,0,678.0,0.30335570469798656,0,1,1
20,2353,0,2353.0,714,0,714.0,0.3034424139396515,0,1,1
21,2471,0,2471.0,751,0,751.0,0.3039255362201538,0,1,1
22,2588,0,2588.0,788,0,788.0,0.3044822256568779,0,1,1
23,2706,0,2706.0,825,0,825.0,0.3048780487804878,0,1,1
24,2824,0,2824.0,862,0,862.0,0.3052407932011331,0,1,1
25,2941,0,2941.0,899,0,899.0,0.30567834070044203,0,1,1
26,3059,0,3059.0,936,0,936.0,0.3059823471722785,0,1,1
27,3176,0,3176.0,974,0,974.0,0.3066750629722922,0,1,1
28,3294,0,3294.0,1011,0,1011.0,0.3069216757741348,0,1,1
29,3412,0,3412.0,1049,0,1049.0,0.3074443141852286,0,1,1
30,3529,0,3529.0,1087,0,1087.0,0.3080192689147067,0,1,1
31,3647,0,3647.0,1126,0,1126.0,0.308746915272827,0,1,1
32,3765,0,3765.0,1164,0,1164.0,0.30916334661354583,0,1,1
33,3882,0,3882.0,1203,0,1203.0,0.30989180834621327,0,1,1
34,4000,0,4000.0,1242,0,1242.0,0.3105,0,1,1
35,4118,0,4118.0,1281,0,1281.0,0.31107333657115105,0,1,1
36,4235,0,4235.0,1320,0,1320.0,0.3116883116883117,0,1,1
37,4353,0,4353.0,1360,0,1360.0,0.3124282104295888,0,1,1
38,4471,0,4471.0,1400,0,1400.0,0.31312905390293,0,1,1
39,4588,0,4588.0,1439,0,1439.0,0.3136442894507411,0,1,1
40,4706,0,4706.0,1480,0,1480.0,0.3144921376965576,0,1,1
41,4824,0,4824.0,1520,0,1520.0,0.3150912106135987,0,1,1
42,4941,0,4941.0,1561,0,1561.0,0.3159279498077312,0,1,1
43,5059,0,5059.0,1602,0,1602.0,0.3166633722079462,0,1,1
44,5176,0,5176.0,1643,0,1643.0,0.3174265842349305,0,1,1
45,5294,0,5294.0,1685,0,1685.0,0.31828485077446167,0,1,1
46,5412,0,5412.0,1727,0,1727.0,0.31910569105691056,0,1,1
47,5529,0,5529.0,1769,0,1769.0,0.31994935793090973,0,1,1
48,5647,0,5647.0,1811,0,1811.0,0.32070125730476357,0,1,1
