index,input_i,input_q,output_i,output_q,saturated
0,-32767,0,-32768,0,1
1,-32510,0,-32768,0,1
2,-32253,0,-32768,0,1
3,-31996,0,-32628,0,0
4,-31739,0,-32051,0,0
5,-31482,0,-31482,0,0
6,-31225,0,-30920,0,0
7,-30968,0,-30366,0,0
8,-30711,0,-29820,0,0
9,-30454,0,-29280,0,0
10,-30197,0,-28748,0,0
11,-29940,0,-28224,0,0
12,-29683,0,-27706,0,0
13,-29426,0,-27195,0,0
14,-29169,0,-26692,0,0
15,-28912,0,-26196,0,0
16,-28655,0,-25706,0,0
17,-28398,0,-25224,0,0
18,-28141,0,-24748,0,0
19,-27884,0,-24279,0,0
20,-27627,0,-23816,0,0
21,-27370,0,-23361,0,0
22,-27113,0,-22911,0,0
23,-26856,0,-22469,0,0
24,-26599,0,-22033,0,0
25,-26342,0,-21603,0,0
26,-26085,0,-21179,0,0
27,-25828,0,-20762,0,0
28,-25571,0,-20351,0,0
29,-25314,0,-19946,0,0
30,-25057,0,-19547,0,0
31,-24800,0,-19154,0,0
32,-24543,0,-18767,0,0
33,-24286,0,-18386,0,0
34,-24029,0,-18011,0,0
35,-23772,0,-17642,0,0
36,-23515,0,-17278,0,0
37,-23258,0,-16920,0,0
38,-23001,0,-16568,0,0
39,-22744,0,-16221,0,0
40,-22487,0,-15879,0,0
41,-22230,0,-15543,0,0
42,-21973,0,-15212,0,0
43,-21716,0,-14887,0,0
44,-21459,0,-14566,0,0
45,-21202,0,-14251,0,0
46,-20945,0,-13941,0,0
47,-20688,0,-13636,0,0
48,-20431,0,-13336,0,0
49,-20174,0,-13041,0,0
50,-19917,0,-12750,0,0
51,-19660,0,-12465,0,0
52,-19403,0,-12184,0,0
53,-19146,0,-11908,0,0
54,-18889,0,-11636,0,0
55,-18632,0,-11369,0,0
56,-18375,0,-11107,0,0
57,-18118,0,-10848,0,0
58,-17861,0,-10595,0,0
59,-17604,0,-10345,0,0
60,-17347,0,-10100,0,0
61,-17090,0,-9858,0,0
62,-16833,0,-9621,0,0
63,-16576,0,-9388,0,0
64,-16319,0,-9159,0,0
65,-16062,0,-8934,0,0
66,-15805,0,-8713,0,0
67,-15548,0,-8495,0,0
68,-15291,0,-8282,0,0
69,-15034,0,-8072,0,0
70,-14777,0,-7865,0,0
71,-14520,0,-7662,0,0
72,-14263,0,-7463,0,0
73,-14006,0,-7267,0,0
74,-13749,0,-7074,0,0
75,-13492,0,-6884,0,0
76,-13235,0,-6698,0,0
77,-12978,0,-6515,0,0
78,-12721,0,-6335,0,0
79,-12464,0,-6159,0,0
80,-12207,0,-5985,0,0
81,-11950,0,-5814,0,0
82,-11693,0,-5646,0,0
83,-11436,0,-5481,0,0
84,-11179,0,-5318,0,0
85,-10922,0,-5158,0,0
86,-10665,0,-5001,0,0
87,-10408,0,-4847,0,0
88,-10151,0,-4695,0,0
89,-9894,0,-4545,0,0
90,-9637,0,-4398,0,0
91,-9380,0,-4253,0,0
92,-9123,0,-4110,0,0
93,-8866,0,-3969,0,0
94,-8609,0,-3831,0,0
95,-8352,0,-3694,0,0
96,-8095,0,-3560,0,0
97,-7838,0,-3428,0,0
98,-7581,0,-3297,0,0
99,-7324,0,-3168,0,0
100,-7067,0,-3041,0,0
101,-6810,0,-2916,0,0
102,-6553,0,-2793,0,0
103,-6296,0,-2670,0,0
104,-6039,0,-2550,0,0
105,-5782,0,-2431,0,0
106,-5525,0,-2313,0,0
107,-5268,0,-2197,0,0
108,-5011,0,-2082,0,0
109,-4754,0,-1968,0,0
110,-4497,0,-1855,0,0
111,-4240,0,-1743,0,0
112,-3983,0,-1632,0,0
113,-3726,0,-1523,0,0
114,-3469,0,-1414,0,0
115,-3212,0,-1306,0,0
116,-2955,0,-1199,0,0
117,-2698,0,-1092,0,0
118,-2441,0,-986,0,0
119,-2184,0,-881,0,0
120,-1927,0,-776,0,0
121,-1670,0,-672,0,0
122,-1413,0,-568,0,0
123,-1156,0,-464,0,0
124,-899,0,-361,0,0
125,-642,0,-258,0,0
126,-385,0,-155,0,0
127,-128,0,-52,0,0
128,128,0,51,0,0
129,385,0,154,0,0
130,642,0,257,0,0
131,899,0,360,0,0
132,1156,0,463,0,0
133,1413,0,567,0,0
134,1670,0,671,0,0
135,1927,0,775,0,0
136,2184,0,880,0,0
137,2441,0,985,0,0
138,2698,0,1091,0,0
139,2955,0,1198,0,0
140,3212,0,1305,0,0
141,3469,0,1413,0,0
142,3726,0,1522,0,0
143,3983,0,1631,0,0
144,4240,0,1742,0,0
145,4497,0,1854,0,0
146,4754,0,1967,0,0
147,5011,0,2081,0,0
148,5268,0,2196,0,0
149,5525,0,2312,0,0
150,5782,0,2430,0,0
151,6039,0,2549,0,0
152,6296,0,2669,0,0
153,6553,0,2792,0,0
154,6810,0,2915,0,0
155,7067,0,3040,0,0
156,7324,0,3167,0,0
157,7581,0,3296,0,0
158,7838,0,3427,0,0
159,8095,0,3559,0,0
160,8352,0,3693,0,0
161,8609,0,3830,0,0
162,8866,0,3968,0,0
163,9123,0,4109,0,0
164,9380,0,4252,0,0
165,9637,0,4397,0,0
166,9894,0,4544,0,0
167,10151,0,4694,0,0
168,10408,0,4846,0,0
169,10665,0,5000,0,0
170,10922,0,5157,0,0
171,11179,0,5317,0,0
172,11436,0,5480,0,0
173,11693,0,5645,0,0
174,11950,0,5813,0,0
175,12207,0,5984,0,0
176,12464,0,6158,0,0
177,12721,0,6334,0,0
178,12978,0,6514,0,0
179,13235,0,6697,0,0
180,13492,0,6883,0,0
181,13749,0,7073,0,0
182,14006,0,7266,0,0
183,14263,0,7462,0,0
184,14520,0,7661,0,0
185,14777,0,7864,0,0
186,15034,0,8071,0,0
187,15291,0,8281,0,0
188,15548,0,8494,0,0
189,15805,0,8712,0,0
190,16062,0,8933,0,0
191,16319,0,9158,0,0
192,16576,0,9387,0,0
193,16833,0,9620,0,0
194,17090,0,9857,0,0
195,17347,0,10099,0,0
196,17604,0,10344,0,0
197,17861,0,10594,0,0
198,18118,0,10847,0,0
199,18375,0,11106,0,0
200,18632,0,11368,0,0
201,18889,0,11635,0,0
202,19146,0,11907,0,0
203,19403,0,12183,0,0
204,19660,0,12464,0,0
205,19917,0,12749,0,0
206,20174,0,13040,0,0
207,20431,0,13335,0,0
208,20688,0,13635,0,0
209,20945,0,13940,0,0
210,21202,0,14250,0,0
211,21459,0,14565,0,0
212,21716,0,14886,0,0
213,21973,0,15211,0,0
214,22230,0,15542,0,0
215,22487,0,15878,0,0
216,22744,0,16220,0,0
217,23001,0,16567,0,0
218,23258,0,16919,0,0
219,23515,0,17277,0,0
220,23772,0,17641,0,0
221,24029,0,18010,0,0
222,24286,0,18385,0,0
223,24543,0,18766,0,0
224,24800,0,19153,0,0
225,25057,0,19546,0,0
226,25314,0,19945,0,0
227,25571,0,20350,0,0
228,25828,0,20761,0,0
229,26085,0,21178,0,0
230,26342,0,21602,0,0
231,26599,0,22032,0,0
232,26856,0,22468,0,0
233,27113,0,22910,0,0
234,27370,0,23360,0,0
235,27627,0,23815,0,0
236,27884,0,24278,0,0
237,28141,0,24747,0,0
238,28398,0,25223,0,0
239,28655,0,25705,0,0
240,28912,0,26195,0,0
241,29169,0,26691,0,0
242,29426,0,27194,0,0
243,29683,0,27705,0,0
244,29940,0,28223,0,0
245,30197,0,28747,0,0
246,30454,0,29279,0,0
247,30711,0,29819,0,0
248,30968,0,30365,0,0
249,31225,0,30919,0,0
250,31482,0,31481,0,0
251,31739,0,32050,0,0
252,31996,0,32627,0,0
253,32253,0,32767,0,1
254,32510,0,32767,0,1
255,32767,0,32767,0,1
