index,requested_amplitude,requested_phase_deg,input_i,input_q,input_magnitude,input_phase_deg,output_i,output_q,output_magnitude,output_phase_deg,phase_shift_deg,gain
0,875,0,875,0,875.0,0.0,350,175,391.3118960624632,26.56505117707799,26.56505117707799,0.4472135954999579
1,875,45,619,619,875.3981951089459,45.0,124,371,391.1738743832466,71.51873285288096,26.51873285288096,0.44685250274540933
2,875,90,0,875,875.0,90.0,-176,350,391.76013069223876,116.69586323178271,26.69586323178271,0.4477258636482729
3,875,135,-619,619,875.3981951089459,135.0,-372,124,392.12242986087904,161.565051177078,26.565051177078004,0.4479360730371146
4,875,180,-875,0,875.0,180.0,-351,-176,392.65379152632664,-153.36969169907445,26.63030830092555,0.4487471903158019
5,875,-135,-619,-619,875.3981951089459,-135.0,-125,-372,392.43980430124566,-108.57345567522869,26.426544324771314,0.4482986216945597
6,875,-90,0,-875,875.0,-90.0,175,-351,392.20657822122257,-63.500280356196406,26.499719643803594,0.44823608939568294
7,875,-45,619,-619,875.3981951089459,-45.0,371,-125,391.4920177985753,-18.620071860514997,26.379928139485003,0.44721592983162706
8,1750,0,1750,0,1750.0,0.0,700,350,782.6237921249264,26.56505117707799,26.56505117707799,0.4472135954999579
9,1750,45,1237,1237,1749.3821766555186,45.0,247,742,782.0313292957003,71.5882197077655,26.588219707765504,0.44703286664940955
10,1750,90,0,1750,1750.0,90.0,-351,700,783.0715165296207,116.63049464320761,26.630494643207612,0.4474694380169261
11,1750,135,-1237,1237,1749.3821766555186,135.0,-743,247,782.980204092032,161.61133208745917,26.611332087459175,0.4475752723106732
12,1750,180,-1750,0,1750.0,180.0,-701,-351,783.9655604680604,-153.40226441145703,26.597735588542946,0.4479803202674631
13,1750,-135,-1237,-1237,1749.3821766555186,-135.0,-248,-743,783.29624025652,-108.45807993975701,26.541920060242987,0.4477559281837611
14,1750,-90,0,-1750,1750.0,-90.0,350,-701,783.5183469453667,-63.467651889868954,26.532348110131046,0.4477247696830667
15,1750,-45,1237,-1237,1749.3821766555186,-45.0,742,-248,782.3477487664932,-18.48126714711904,26.51873285288096,0.4472137416320265
16,2625,0,2625,0,2625.0,0.0,1050,525,1173.9356881873896,26.56505117707799,26.56505117707799,0.4472135954999579
