profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,0,117,0,117.0,47,0,47.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,1,234,0,234.0,94,0,94.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,2,352,0,352.0,141,0,141.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,3,469,0,469.0,188,0,188.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,4,586,0,586.0,234,0,234.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,5,703,0,703.0,281,0,281.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,6,820,0,820.0,328,0,328.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,7,938,0,938.0,375,0,375.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,8,1055,0,1055.0,422,0,422.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,9,1172,0,1172.0,469,0,469.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,10,1289,0,1289.0,516,0,516.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,11,1406,0,1406.0,562,0,562.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,12,1523,0,1523.0,609,0,609.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,13,1641,0,1641.0,656,0,656.0,0.0
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,14,1758,0,1758.0,703,1,703.0007112371935,0.08150176510435159
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,15,1875,0,1875.0,750,1,750.0006666663704,0.07639432741341867
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,16,1992,0,1992.0,797,1,797.0006273523252,0.07188927157651441
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,17,2109,0,2109.0,844,1,844.0005924168537,0.06788596291693196
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,18,2227,0,2227.0,891,1,891.0005611670512,0.06430500051161746
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,19,2344,0,2344.0,938,1,938.000533048889,0.06108289744808349
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,20,2461,0,2461.0,984,1,984.00050812995,0.05822739815890181
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,21,2578,0,2578.0,1031,2,1031.0019398623845,0.11114589261656917
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,22,2695,0,2695.0,1078,2,1078.001855285973,0.10630002555492389
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,23,2812,0,2812.0,1125,2,1125.001777776373,0.10185905627059727
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,24,2930,0,2930.0,1172,2,1172.0017064833992,0.09777427286068348
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,25,3047,0,3047.0,1219,3,1219.0036915448616,0.14100655579813862
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,26,3164,0,3164.0,1266,3,1266.0035544973798,0.1357717352336169
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,27,3281,0,3281.0,1312,3,1312.0034298735654,0.13101146263016114
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,28,3398,0,3398.0,1359,4,1359.005886668634,0.1686405123119073
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,29,3516,0,3516.0,1406,4,1406.0056898889136,0.16300320038336477
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,30,3633,0,3633.0,1453,4,1453.005505839534,0.1577305843722489
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,31,3750,0,3750.0,1500,5,1500.0083333101852,0.19098522435968746
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,32,3867,0,3867.0,1547,5,1547.0080801340373,0.1851828700909141
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,33,3984,0,3984.0,1594,6,1594.0112923062998,0.21566690934400543
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,34,4102,0,4102.0,1641,6,1641.01096888473,0.20949003361617796
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,35,4219,0,4219.0,1688,7,1688.01451415561,0.23759961940383248
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,36,4336,0,4336.0,1734,8,1734.0184543423982,0.26433851440417705
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,37,4453,0,4453.0,1781,8,1781.0179673433954,0.2573628036805809
