family,coef1_index,coef3_index,coef1,coef3,index,input_i,output_i,output_q,gain_linear,overflow,delta_from_nominal
coef1,0,2,0.68,0.2,0,0,0,0,0.0,0,0
coef1,0,2,0.68,0.2,1,236,160,0,0.6779661016949152,0,-5
coef1,0,2,0.68,0.2,2,472,321,0,0.6800847457627118,0,-9
coef1,0,2,0.68,0.2,3,709,482,0,0.6798307475317349,0,-14
coef1,0,2,0.68,0.2,4,945,643,0,0.6804232804232804,0,-19
coef1,0,2,0.68,0.2,5,1181,803,0,0.6799322607959356,0,-24
coef1,0,2,0.68,0.2,6,1417,964,0,0.6803105151729005,0,-28
coef1,0,2,0.68,0.2,7,1654,1126,0,0.6807738814993954,0,-33
coef1,0,2,0.68,0.2,8,1890,1286,0,0.6804232804232804,0,-38
coef1,0,2,0.68,0.2,9,2126,1447,0,0.680620884289746,0,-43
coef1,0,2,0.68,0.2,10,2362,1609,0,0.6812023708721423,0,-47
coef1,0,2,0.68,0.2,11,2598,1770,0,0.6812933025404158,0,-52
coef1,0,2,0.68,0.2,12,2835,1932,0,0.6814814814814815,0,-57
coef1,0,2,0.68,0.2,13,3071,2094,0,0.6818625854770433,0,-61
coef1,0,2,0.68,0.2,14,3307,2255,0,0.6818869065618385,0,-67
coef1,0,2,0.68,0.2,15,3543,2417,0,0.6821902342647473,0,-71
coef1,0,2,0.68,0.2,16,3780,2580,0,0.6825396825396826,0,-76
coef1,0,2,0.68,0.2,17,4016,2743,0,0.6830179282868526,0,-80
coef1,0,2,0.68,0.2,18,4252,2906,0,0.6834430856067732,0,-85
coef1,0,2,0.68,0.2,19,4488,3069,0,0.6838235294117647,0,-89
coef1,0,2,0.68,0.2,20,4724,3232,0,0.6841659610499576,0,-94
coef1,0,2,0.68,0.2,21,4961,3396,0,0.6845394073775448,0,-100
coef1,0,2,0.68,0.2,22,5197,3560,0,0.6850105830286704,0,-104
coef1,0,2,0.68,0.2,23,5433,3724,0,0.6854408245904656,0,-109
coef1,0,2,0.68,0.2,24,5669,3889,0,0.6860116422649497,0,-113
coef1,0,2,0.68,0.2,25,5906,4054,0,0.6864205892312902,0,-119
coef1,0,2,0.68,0.2,26,6142,4220,0,0.6870726147834582,0,-123
coef1,0,2,0.68,0.2,27,6378,4385,0,0.6875195986202571,0,-128
coef1,0,2,0.68,0.2,28,6614,4551,0,0.6880858784396734,0,-133
coef1,0,2,0.68,0.2,29,6850,4718,0,0.6887591240875912,0,-137
coef1,0,2,0.68,0.2,30,7087,4885,0,0.689290249753069,0,-142
coef1,0,2,0.68,0.2,31,7323,5053,0,0.690017752287314,0,-146
coef1,0,2,0.68,0.2,32,7559,5221,0,0.6906998280195793,0,-151
coef1,0,2,0.68,0.2,33,7795,5389,0,0.6913406029506094,0,-156
coef1,0,2,0.68,0.2,34,8031,5558,0,0.6920682355871,0,-160
coef1,0,2,0.68,0.2,35,8268,5727,0,0.6926705370101597,0,-166
coef1,0,2,0.68,0.2,36,8504,5897,0,0.6934383819379115,0,-170
coef1,0,2,0.68,0.2,37,8740,6067,0,0.6941647597254005,0,-175
coef1,0,2,0.68,0.2,38,8976,6238,0,0.6949643493761141,0,-180
coef1,0,2,0.68,0.2,39,9213,6410,0,0.6957559969608162,0,-185
coef1,0,2,0.68,0.2,40,9449,6582,0,0.6965816488517304,0,-190
coef1,0,2,0.68,0.2,41,9685,6755,0,0.6974703149199794,0,-194
coef1,0,2,0.68,0.2,42,9921,6928,0,0.6983167019453684,0,-199
coef1,0,2,0.68,0.2,43,10157,7102,0,0.6992222112828591,0,-203
coef1,0,2,0.68,0.2,44,10394,7277,0,0.7001154512218588,0,-208
coef1,0,2,0.68,0.2,45,10630,7452,0,0.7010348071495767,0,-213
coef1,0,2,0.68,0.2,46,10866,7628,0,0.7020062580526413,0,-217
coef1,0,2,0.68,0.2,47,11102,7804,0,0.7029364078544407,0,-222
coef1,0,2,0.68,0.2,48,11339,7982,0,0.703942146573772,0,-227
coef1,0,2,0.68,0.2,49,11575,8160,0,0.7049676025917927,0,-232
coef1,0,2,0.68,0.2,50,11811,8338,0,0.7059520785708238,0,-237
coef1,0,2,0.68,0.2,51,12047,8518,0,0.7070639993359342,0,-241
coef1,0,2,0.68,0.2,52,12283,8698,0,0.7081331922168851,0,-245
coef1,0,2,0.68,0.2,53,12520,8879,0,0.709185303514377,0,-251
coef1,0,2,0.68,0.2,54,12756,9061,0,0.7103323925995609,0,-255
coef1,0,2,0.68,0.2,55,12992,9243,0,0.7114378078817734,0,-260
coef1,0,2,0.68,0.2,56,13228,9426,0,0.7125793770789235,0,-265
coef1,0,2,0.68,0.2,57,13465,9611,0,0.7137764574823616,0,-269
coef1,0,2,0.68,0.2,58,13701,9796,0,0.7149843077147654,0,-274
coef1,0,2,0.68,0.2,59,13937,9981,0,0.7161512520628542,0,-279
coef1,0,2,0.68,0.2,60,14173,10168,0,0.7174204473294292,0,-284
coef1,0,2,0.68,0.2,61,14409,10355,0,0.7186480671802346,0,-289
coef1,0,2,0.68,0.2,62,14646,10544,0,0.7199235286084937,0,-294
coef1,0,2,0.68,0.2,63,14882,10734,0,0.7212740223088294,0,-298
coef1,0,2,0.68,0.2,64,15118,10924,0,0.7225823521629845,0,-302
coef1,0,2,0.68,0.2,65,15354,11115,0,0.723915592028136,0,-307
coef1,0,2,0.68,0.2,66,15591,11308,0,0.7252902315438394,0,-312
coef1,0,2,0.68,0.2,67,15827,11501,0,0.7266696152145069,0,-317
coef1,0,2,0.68,0.2,68,16063,11695,0,0.72807072153396,0,-321
coef1,0,2,0.68,0.2,69,16299,11890,0,0.7294926069083993,0,-326
coef1,0,2,0.68,0.2,70,16535,12086,0,0.7309343816147565,0,-331
coef1,0,2,0.68,0.2,71,16772,12284,0,0.7324111614595755,0,-335
coef1,0,2,0.68,0.2,72,17008,12482,0,0.7338899341486359,0,-340
coef1,0,2,0.68,0.2,73,17244,12681,0,0.7353862212943633,0,-345
coef1,0,2,0.68,0.2,74,17480,12881,0,0.7368993135011441,0,-350
coef1,0,2,0.68,0.2,75,17717,13083,0,0.7384433030422758,0,-355
coef1,0,2,0.68,0.2,76,17953,13286,0,0.7400434467776973,0,-359
coef1,0,2,0.68,0.2,77,18189,13489,0,0.7416020671834626,0,-364
coef1,0,2,0.68,0.2,78,18425,13694,0,0.7432293080054274,0,-369
coef1,0,2,0.68,0.2,79,18661,13900,0,0.7448689780826322,0,-373
coef1,0,2,0.68,0.2,80,18898,14108,0,0.7465340247645254,0,-378
coef1,0,2,0.68,0.2,81,19134,14316,0,0.7481969269363437,0,-383
coef1,0,2,0.68,0.2,82,19370,14525,0,0.7498709344346928,0,-388
coef1,0,2,0.68,0.2,83,19606,14736,0,0.7516066510251964,0,-392
coef1,0,2,0.68,0.2,84,19843,14948,0,0.7533135110618354,0,-398
coef1,0,2,0.68,0.2,85,20079,15162,0,0.755117286717466,0,-401
coef1,0,2,0.68,0.2,86,20315,15376,0,0.7568791533349741,0,-406
coef1,0,2,0.68,0.2,87,20551,15591,0,0.758649214150163,0,-412
coef1,0,2,0.68,0.2,88,20787,15808,0,0.760475297060663,0,-416
