family,coef1_index,coef3_index,coef1,coef3,overflow,small_signal_gain,peak_output,final_output
coef1,0,2,0.68,0.2,0,0.6799322607959356,25429,25429
coef1,1,2,0.69,0.2,0,0.6900931414055885,25730,25730
coef1,2,2,0.7,0.2,0,0.7002540220152413,26030,26030
coef1,3,2,0.71,0.2,0,0.7104149026248942,26329,26329
coef1,4,2,0.72,0.2,0,0.720575783234547,26629,26629
coef3,2,0,0.7,0.18,0,0.7002540220152413,25526,25526
coef3,2,1,0.7,0.19,0,0.7002540220152413,25778,25778
coef3,2,2,0.7,0.2,0,0.7002540220152413,26030,26030
coef3,2,3,0.7,0.21,0,0.7002540220152413,26281,26281
coef3,2,4,0.7,0.22,0,0.7002540220152413,26532,26532
