checkpoint,samples,cycle,time_seconds,average_samples_per_cycle,throughput_samples_per_second
1,100000,100005,0.00166675,0.999950002499875,59997000.1499925
2,200000,200005,0.003333416666666667,0.9999750006249843,59998500.03749906
3,300000,300005,0.005000083333333333,0.9999833336111065,59999000.01666639
4,400000,400005,0.00666675,0.999987500156248,59999250.00937488
5,500000,500005,0.008333416666666666,0.999990000099999,59999400.00599994
6,600000,600005,0.010000083333333333,0.9999916667361105,59999500.00416663
7,700000,700005,0.01166675,0.9999928571938772,59999571.43163263
8,800000,800005,0.013333416666666667,0.9999937500390622,59999625.00234374
9,900000,900005,0.015000083333333334,0.9999944444753085,59999666.668518506
10,1000000,1000005,0.01666675,0.9999950000249999,59999700.001499996
