run,checkpoint,samples,cycle,time_seconds
1,1,100000,100009,0.0016668166666666668
1,2,200000,200009,0.0033334833333333335
1,3,300000,300009,0.00500015
1,4,400000,400009,0.006666816666666667
1,5,500000,500009,0.008333483333333334
1,6,600000,600009,0.01000015
1,7,700000,700009,0.011666816666666666
1,8,800000,800009,0.013333483333333333
1,9,900000,900009,0.01500015
1,10,1000000,1000009,0.016666816666666667
2,1,100000,100009,0.0016668166666666668
2,2,200000,200009,0.0033334833333333335
2,3,300000,300009,0.00500015
2,4,400000,400009,0.006666816666666667
2,5,500000,500009,0.008333483333333334
2,6,600000,600009,0.01000015
2,7,700000,700009,0.011666816666666666
2,8,800000,800009,0.013333483333333333
2,9,900000,900009,0.01500015
2,10,1000000,1000009,0.016666816666666667
3,1,100000,100009,0.0016668166666666668
3,2,200000,200009,0.0033334833333333335
3,3,300000,300009,0.00500015
3,4,400000,400009,0.006666816666666667
3,5,500000,500009,0.008333483333333334
3,6,600000,600009,0.01000015
3,7,700000,700009,0.011666816666666666
3,8,800000,800009,0.013333483333333333
3,9,900000,900009,0.01500015
3,10,1000000,1000009,0.016666816666666667
4,1,100000,100009,0.0016668166666666668
4,2,200000,200009,0.0033334833333333335
4,3,300000,300009,0.00500015
4,4,400000,400009,0.006666816666666667
4,5,500000,500009,0.008333483333333334
4,6,600000,600009,0.01000015
4,7,700000,700009,0.011666816666666666
4,8,800000,800009,0.013333483333333333
4,9,900000,900009,0.01500015
4,10,1000000,1000009,0.016666816666666667
5,1,100000,100009,0.0016668166666666668
5,2,200000,200009,0.0033334833333333335
5,3,300000,300009,0.00500015
5,4,400000,400009,0.006666816666666667
5,5,500000,500009,0.008333483333333334
5,6,600000,600009,0.01000015
5,7,700000,700009,0.011666816666666666
5,8,800000,800009,0.013333483333333333
5,9,900000,900009,0.01500015
5,10,1000000,1000009,0.016666816666666667
6,1,100000,100009,0.0016668166666666668
6,2,200000,200009,0.0033334833333333335
6,3,300000,300009,0.00500015
6,4,400000,400009,0.006666816666666667
6,5,500000,500009,0.008333483333333334
6,6,600000,600009,0.01000015
6,7,700000,700009,0.011666816666666666
6,8,800000,800009,0.013333483333333333
6,9,900000,900009,0.01500015
6,10,1000000,1000009,0.016666816666666667
7,1,100000,100009,0.0016668166666666668
7,2,200000,200009,0.0033334833333333335
7,3,300000,300009,0.00500015
7,4,400000,400009,0.006666816666666667
7,5,500000,500009,0.008333483333333334
7,6,600000,600009,0.01000015
7,7,700000,700009,0.011666816666666666
7,8,800000,800009,0.013333483333333333
7,9,900000,900009,0.01500015
7,10,1000000,1000009,0.016666816666666667
8,1,100000,100009,0.0016668166666666668
8,2,200000,200009,0.0033334833333333335
8,3,300000,300009,0.00500015
8,4,400000,400009,0.006666816666666667
8,5,500000,500009,0.008333483333333334
8,6,600000,600009,0.01000015
8,7,700000,700009,0.011666816666666666
8,8,800000,800009,0.013333483333333333
8,9,900000,900009,0.01500015
8,10,1000000,1000009,0.016666816666666667
9,1,100000,100009,0.0016668166666666668
9,2,200000,200009,0.0033334833333333335
9,3,300000,300009,0.00500015
9,4,400000,400009,0.006666816666666667
9,5,500000,500009,0.008333483333333334
9,6,600000,600009,0.01000015
9,7,700000,700009,0.011666816666666666
9,8,800000,800009,0.013333483333333333
9,9,900000,900009,0.01500015
9,10,1000000,1000009,0.016666816666666667
10,1,100000,100009,0.0016668166666666668
10,2,200000,200009,0.0033334833333333335
10,3,300000,300009,0.00500015
10,4,400000,400009,0.006666816666666667
10,5,500000,500009,0.008333483333333334
10,6,600000,600009,0.01000015
10,7,700000,700009,0.011666816666666666
10,8,800000,800009,0.013333483333333333
10,9,900000,900009,0.01500015
10,10,1000000,1000009,0.016666816666666667
