run,target_samples,samples_sent,samples_received,latency_min,latency_max,latency_sum,total_cycles,overflow_events,saturation_positive,saturation_negative,coefficient_updates,high_amplitude_samples,fifo_errors,losses,duplicates,reorder,input_signature,output_signature,latency_average,jitter,hardware_time_seconds,throughput_msps,wall_time_seconds,passed
1,1000000,1000000,1000000,6,6,6000000,1000010,44095,24945,21156,3906,102044,0,0,0,0,1021074,103480958,6.0,0,0.016666833333333332,59.999400005999945,0.03202010001405142,1
2,1000000,1000000,1000000,6,6,6000000,1000010,44256,25043,21227,3906,102044,0,0,0,0,1021074,141855652,6.0,0,0.016666833333333332,59.999400005999945,0.03193769999779761,1
3,1000000,1000000,1000000,6,6,6000000,1000010,44357,25124,21260,3906,102044,0,0,0,0,1021074,861050936,6.0,0,0.016666833333333332,59.999400005999945,0.032009499991545454,1
4,1000000,1000000,1000000,6,6,6000000,1000010,44505,25137,21400,3906,102044,0,0,0,0,1021074,126711364,6.0,0,0.016666833333333332,59.999400005999945,0.0319073999999091,1
5,1000000,1000000,1000000,6,6,6000000,1000010,44094,25114,21009,3906,102044,0,0,0,0,1021074,568295164,6.0,0,0.016666833333333332,59.999400005999945,0.03100409999024123,1
6,1000000,1000000,1000000,6,6,6000000,1000010,44112,25145,20996,3906,102044,0,0,0,0,1021074,309428060,6.0,0,0.016666833333333332,59.999400005999945,0.03301739998278208,1
7,1000000,1000000,1000000,6,6,6000000,1000010,44175,25137,21052,3906,102044,0,0,0,0,1021074,1883647065,6.0,0,0.016666833333333332,59.999400005999945,0.031975399993825704,1
8,1000000,1000000,1000000,6,6,6000000,1000010,44209,25029,21219,3906,102044,0,0,0,0,1021074,563916425,6.0,0,0.016666833333333332,59.999400005999945,0.03210229999967851,1
9,1000000,1000000,1000000,6,6,6000000,1000010,44633,25130,21515,3906,102044,0,0,0,0,1021074,389412741,6.0,0,0.016666833333333332,59.999400005999945,0.031902799993986264,1
10,1000000,1000000,1000000,6,6,6000000,1000010,44054,25069,21008,3906,102044,0,0,0,0,1021074,1879305474,6.0,0,0.016666833333333332,59.999400005999945,0.03201330002048053,1
