coef1_index,coef3_index,coef1,coef3,status,overflow,p1db_input,saturation_input,peak_input,peak_output,final_output,small_signal_gain,final_gain
0,0,0.4,-0.7,COMPRESSIVO,0,8504,,14173,3813,-5603,0.3988145639288738,-0.18676666666666666
0,1,0.4,-0.35,COMPRESSIVO,0,11811,,20079,5393,3199,0.39966130397967825,0.10663333333333333
0,2,0.4,0.0,SEGURO,0,,,30000,12000,12000,0.39966130397967825,0.4
0,3,0.4,0.35,EXPANSIVO,0,,,30000,20801,20801,0.4005080440304826,0.6933666666666667
0,4,0.4,0.7,EXPANSIVO,0,,,30000,29602,29602,0.4005080440304826,0.9867333333333334
1,0,0.55,-0.7,COMPRESSIVO,0,9685,,16772,6149,-1103,0.5486875529212532,-0.03676666666666667
1,1,0.55,-0.35,COMPRESSIVO,0,13701,,23622,8695,7698,0.5495342929720576,0.2566
1,2,0.55,0.0,SEGURO,0,,,30000,16500,16500,0.550381033022862,0.55
1,3,0.55,0.35,EXPANSIVO,0,,,30000,25301,25301,0.550381033022862,0.8433666666666667
1,4,0.55,0.7,OVERFLOW,1,,29528,29528,32767,32767,0.5512277730736664,1.0922333333333334
2,0,0.7,-0.7,OVERFLOW,1,10866,,18898,8829,3399,0.6994072819644369,0.1133
2,1,0.7,-0.35,COMPRESSIVO,0,15354,,26693,12486,12199,0.6994072819644369,0.40663333333333335
2,2,0.7,0.0,SEGURO,0,,,30000,21000,21000,0.7002540220152413,0.7
2,3,0.7,0.35,EXPANSIVO,0,,,30000,29802,29802,0.7002540220152413,0.9934
2,4,0.7,0.7,OVERFLOW,1,,27638,27638,32767,32767,0.7011007620660458,1.0922333333333334
3,0,0.85,-0.7,OVERFLOW,1,12047,,20787,11814,7899,0.8492802709568162,0.2633
3,1,0.85,-0.35,COMPRESSIVO,0,17008,,29528,16707,16699,0.8492802709568162,0.5566333333333333
3,2,0.85,0.0,SEGURO,0,,,30000,25500,25500,0.8501270110076207,0.85
3,3,0.85,0.35,OVERFLOW,1,,29291,29291,32767,32767,0.8501270110076207,1.0922333333333334
3,4,0.85,0.7,OVERFLOW,1,,25748,25748,32767,32767,0.8509737510584251,1.0922333333333334
4,0,1.0,-0.7,OVERFLOW,1,12992,,22677,15074,12398,0.9991532599491956,0.41326666666666667
4,1,1.0,-0.35,COMPRESSIVO,0,18425,,30000,21198,21198,0.9991532599491956,0.7066
4,2,1.0,0.0,SEGURO,0,,,30000,29999,29999,1.0,0.9999666666666667
4,3,1.0,0.35,OVERFLOW,1,,26693,26693,32767,32767,1.0008467400508043,1.0922333333333334
4,4,1.0,0.7,OVERFLOW,1,,24094,24094,32767,32767,1.0008467400508043,1.0922333333333334
