scenario,sample_index,input_cycle,output_cycle,latency
continuous,0,0,6,6
continuous,1,1,7,6
continuous,2,2,8,6
continuous,3,3,9,6
continuous,4,4,10,6
continuous,5,5,11,6
continuous,6,6,12,6
continuous,7,7,13,6
continuous,8,8,14,6
continuous,9,9,15,6
continuous,10,10,16,6
continuous,11,11,17,6
continuous,12,12,18,6
continuous,13,13,19,6
continuous,14,14,20,6
continuous,15,15,21,6
continuous,16,16,22,6
continuous,17,17,23,6
continuous,18,18,24,6
continuous,19,19,25,6
continuous,20,20,26,6
continuous,21,21,27,6
continuous,22,22,28,6
continuous,23,23,29,6
continuous,24,24,30,6
continuous,25,25,31,6
continuous,26,26,32,6
continuous,27,27,33,6
continuous,28,28,34,6
continuous,29,29,35,6
continuous,30,30,36,6
continuous,31,31,37,6
gap2,0,0,6,6
gap2,1,2,8,6
gap2,2,4,10,6
gap2,3,6,12,6
gap2,4,8,14,6
gap2,5,10,16,6
gap2,6,12,18,6
gap2,7,14,20,6
gap2,8,16,22,6
gap2,9,18,24,6
gap2,10,20,26,6
gap2,11,22,28,6
gap2,12,24,30,6
gap2,13,26,32,6
gap2,14,28,34,6
gap2,15,30,36,6
gap2,16,32,38,6
gap2,17,34,40,6
gap2,18,36,42,6
gap2,19,38,44,6
gap2,20,40,46,6
gap2,21,42,48,6
gap2,22,44,50,6
gap2,23,46,52,6
gap2,24,48,54,6
gap2,25,50,56,6
gap2,26,52,58,6
gap2,27,54,60,6
gap2,28,56,62,6
gap2,29,58,64,6
gap2,30,60,66,6
gap2,31,62,68,6
gap4,0,0,6,6
gap4,1,4,10,6
gap4,2,8,14,6
gap4,3,12,18,6
gap4,4,16,22,6
gap4,5,20,26,6
gap4,6,24,30,6
gap4,7,28,34,6
gap4,8,32,38,6
gap4,9,36,42,6
gap4,10,40,46,6
gap4,11,44,50,6
gap4,12,48,54,6
gap4,13,52,58,6
gap4,14,56,62,6
gap4,15,60,66,6
gap4,16,64,70,6
gap4,17,68,74,6
gap4,18,72,78,6
gap4,19,76,82,6
gap4,20,80,86,6
gap4,21,84,90,6
gap4,22,88,94,6
gap4,23,92,98,6
gap4,24,96,102,6
gap4,25,100,106,6
gap4,26,104,110,6
gap4,27,108,114,6
gap4,28,112,118,6
gap4,29,116,122,6
gap4,30,120,126,6
gap4,31,124,130,6
gap8,0,0,6,6
gap8,1,8,14,6
gap8,2,16,22,6
gap8,3,24,30,6
gap8,4,32,38,6
gap8,5,40,46,6
gap8,6,48,54,6
gap8,7,56,62,6
gap8,8,64,70,6
gap8,9,72,78,6
gap8,10,80,86,6
gap8,11,88,94,6
gap8,12,96,102,6
gap8,13,104,110,6
gap8,14,112,118,6
gap8,15,120,126,6
gap8,16,128,134,6
gap8,17,136,142,6
gap8,18,144,150,6
gap8,19,152,158,6
gap8,20,160,166,6
gap8,21,168,174,6
gap8,22,176,182,6
gap8,23,184,190,6
gap8,24,192,198,6
gap8,25,200,206,6
gap8,26,208,214,6
gap8,27,216,222,6
gap8,28,224,230,6
gap8,29,232,238,6
gap8,30,240,246,6
gap8,31,248,254,6
random,0,0,6,6
random,1,1,7,6
random,2,4,10,6
random,3,11,17,6
random,4,17,23,6
random,5,22,28,6
random,6,25,31,6
random,7,34,40,6
random,8,36,42,6
random,9,40,46,6
random,10,48,54,6
random,11,49,55,6
random,12,51,57,6
random,13,56,62,6
random,14,57,63,6
random,15,62,68,6
random,16,63,69,6
random,17,68,74,6
random,18,70,76,6
random,19,77,83,6
random,20,82,88,6
random,21,86,92,6
random,22,88,94,6
random,23,95,101,6
random,24,100,106,6
random,25,104,110,6
random,26,105,111,6
random,27,109,115,6
random,28,117,123,6
random,29,118,124,6
random,30,120,126,6
random,31,125,131,6
burst,0,0,6,6
burst,1,1,7,6
burst,2,2,8,6
burst,3,3,9,6
burst,4,4,10,6
burst,5,5,11,6
burst,6,6,12,6
burst,7,7,13,6
burst,8,8,14,6
burst,9,9,15,6
burst,10,10,16,6
burst,11,11,17,6
burst,12,12,18,6
burst,13,13,19,6
burst,14,14,20,6
burst,15,15,21,6
burst,16,66,72,6
burst,17,67,73,6
burst,18,68,74,6
burst,19,69,75,6
burst,20,70,76,6
burst,21,71,77,6
burst,22,72,78,6
burst,23,73,79,6
burst,24,74,80,6
burst,25,75,81,6
burst,26,76,82,6
burst,27,77,83,6
burst,28,78,84,6
burst,29,79,85,6
burst,30,80,86,6
burst,31,81,87,6
