combo_idx,coef1_q15,coef3_q15,safe_flag,coef1_real,coef3_real,overflow_events,xz_events,max_abs_out,margin_lsb
0,-32768,-32768,0,-1.000000000000,-1.000000000000,82,0,32768,-1
1,-32768,-31744,0,-1.000000000000,-0.968750000000,82,0,32768,-1
2,-32768,-30720,0,-1.000000000000,-0.937500000000,80,0,32768,-1
3,-32768,-29696,0,-1.000000000000,-0.906250000000,78,0,32768,-1
4,-32768,-28672,0,-1.000000000000,-0.875000000000,78,0,32768,-1
5,-32768,-27648,0,-1.000000000000,-0.843750000000,76,0,32768,-1
6,-32768,-26624,0,-1.000000000000,-0.812500000000,76,0,32768,-1
7,-32768,-25600,0,-1.000000000000,-0.781250000000,74,0,32768,-1
8,-32768,-24576,0,-1.000000000000,-0.750000000000,72,0,32768,-1
9,-32768,-23552,0,-1.000000000000,-0.718750000000,72,0,32768,-1
10,-32768,-22528,0,-1.000000000000,-0.687500000000,70,0,32768,-1
11,-32768,-21504,0,-1.000000000000,-0.656250000000,68,0,32768,-1
12,-32768,-20480,0,-1.000000000000,-0.625000000000,66,0,32768,-1
13,-32768,-19456,0,-1.000000000000,-0.593750000000,66,0,32768,-1
14,-32768,-18432,0,-1.000000000000,-0.562500000000,64,0,32768,-1
15,-32768,-17408,0,-1.000000000000,-0.531250000000,62,0,32768,-1
16,-32768,-16384,0,-1.000000000000,-0.500000000000,60,0,32768,-1
17,-32768,-15360,0,-1.000000000000,-0.468750000000,58,0,32768,-1
18,-32768,-14336,0,-1.000000000000,-0.437500000000,56,0,32768,-1
19,-32768,-13312,0,-1.000000000000,-0.406250000000,54,0,32768,-1
20,-32768,-12288,0,-1.000000000000,-0.375000000000,52,0,32768,-1
21,-32768,-11264,0,-1.000000000000,-0.343750000000,48,0,32768,-1
22,-32768,-10240,0,-1.000000000000,-0.312500000000,46,0,32768,-1
23,-32768,-9216,0,-1.000000000000,-0.281250000000,44,0,32768,-1
24,-32768,-8192,0,-1.000000000000,-0.250000000000,40,0,32768,-1
25,-32768,-7168,0,-1.000000000000,-0.218750000000,36,0,32768,-1
26,-32768,-6144,0,-1.000000000000,-0.187500000000,34,0,32768,-1
27,-32768,-5120,0,-1.000000000000,-0.156250000000,30,0,32768,-1
28,-32768,-4096,0,-1.000000000000,-0.125000000000,24,0,32768,-1
29,-32768,-3072,0,-1.000000000000,-0.093750000000,20,0,32768,-1
30,-32768,-2048,0,-1.000000000000,-0.062500000000,14,0,32768,-1
31,-32768,-1024,0,-1.000000000000,-0.031250000000,8,0,32768,-1
32,-32768,0,0,-1.000000000000,0.000000000000,1,0,32768,-1
33,-32768,1024,1,-1.000000000000,0.031250000000,0,0,31744,1023
34,-32768,2048,1,-1.000000000000,0.062500000000,0,0,30720,2047
35,-32768,3072,1,-1.000000000000,0.093750000000,0,0,29696,3071
36,-32768,4096,1,-1.000000000000,0.125000000000,0,0,28672,4095
37,-32768,5120,1,-1.000000000000,0.156250000000,0,0,27648,5119
38,-32768,6144,1,-1.000000000000,0.187500000000,0,0,26625,6142
39,-32768,7168,1,-1.000000000000,0.218750000000,0,0,25601,7166
40,-32768,8192,1,-1.000000000000,0.250000000000,0,0,24577,8190
41,-32768,9216,1,-1.000000000000,0.281250000000,0,0,23553,9214
42,-32768,10240,1,-1.000000000000,0.312500000000,0,0,22529,10238
43,-32768,11264,1,-1.000000000000,0.343750000000,0,0,21513,11254
44,-32768,12288,1,-1.000000000000,0.375000000000,0,0,20597,12170
45,-32768,13312,1,-1.000000000000,0.406250000000,0,0,19789,12978
46,-32768,14336,1,-1.000000000000,0.437500000000,0,0,19069,13698
47,-32768,15360,1,-1.000000000000,0.468750000000,0,0,18423,14344
48,-32768,16384,1,-1.000000000000,0.500000000000,0,0,17837,14930
49,-32768,17408,1,-1.000000000000,0.531250000000,0,0,17305,15462
50,-32768,18432,1,-1.000000000000,0.562500000000,0,0,16817,15950
51,-32768,19456,1,-1.000000000000,0.593750000000,0,0,16369,16398
52,-32768,20480,1,-1.000000000000,0.625000000000,0,0,15954,16813
53,-32768,21504,1,-1.000000000000,0.656250000000,0,0,15570,17197
54,-32768,22528,1,-1.000000000000,0.687500000000,0,0,15212,17555
55,-32768,23552,1,-1.000000000000,0.718750000000,0,0,14878,17889
56,-32768,24576,1,-1.000000000000,0.750000000000,0,0,14564,18203
57,-32768,25600,1,-1.000000000000,0.781250000000,0,0,14270,18497
58,-32768,26624,1,-1.000000000000,0.812500000000,0,0,13993,18774
59,-32768,27648,1,-1.000000000000,0.843750000000,0,0,13731,19036
60,-32768,28672,1,-1.000000000000,0.875000000000,0,0,13484,19283
61,-32768,29696,1,-1.000000000000,0.906250000000,0,0,13249,19518
62,-32768,30720,1,-1.000000000000,0.937500000000,0,0,13027,19740
63,-32768,31744,1,-1.000000000000,0.968750000000,0,0,12815,19952
64,-32768,32767,1,-1.000000000000,0.999969482422,0,0,12614,20153
65,-31744,-32768,0,-0.968750000000,-1.000000000000,80,0,32768,-1
66,-31744,-31744,0,-0.968750000000,-0.968750000000,78,0,32768,-1
67,-31744,-30720,0,-0.968750000000,-0.937500000000,78,0,32768,-1
68,-31744,-29696,0,-0.968750000000,-0.906250000000,76,0,32768,-1
69,-31744,-28672,0,-0.968750000000,-0.875000000000,76,0,32768,-1
70,-31744,-27648,0,-0.968750000000,-0.843750000000,74,0,32768,-1
71,-31744,-26624,0,-0.968750000000,-0.812500000000,72,0,32768,-1
72,-31744,-25600,0,-0.968750000000,-0.781250000000,72,0,32768,-1
73,-31744,-24576,0,-0.968750000000,-0.750000000000,70,0,32768,-1
74,-31744,-23552,0,-0.968750000000,-0.718750000000,68,0,32768,-1
75,-31744,-22528,0,-0.968750000000,-0.687500000000,68,0,32768,-1
76,-31744,-21504,0,-0.968750000000,-0.656250000000,66,0,32768,-1
77,-31744,-20480,0,-0.968750000000,-0.625000000000,64,0,32768,-1
78,-31744,-19456,0,-0.968750000000,-0.593750000000,62,0,32768,-1
79,-31744,-18432,0,-0.968750000000,-0.562500000000,60,0,32768,-1
80,-31744,-17408,0,-0.968750000000,-0.531250000000,58,0,32768,-1
81,-31744,-16384,0,-0.968750000000,-0.500000000000,56,0,32768,-1
82,-31744,-15360,0,-0.968750000000,-0.468750000000,54,0,32768,-1
83,-31744,-14336,0,-0.968750000000,-0.437500000000,52,0,32768,-1
84,-31744,-13312,0,-0.968750000000,-0.406250000000,50,0,32768,-1
85,-31744,-12288,0,-0.968750000000,-0.375000000000,48,0,32768,-1
86,-31744,-11264,0,-0.968750000000,-0.343750000000,44,0,32768,-1
87,-31744,-10240,0,-0.968750000000,-0.312500000000,42,0,32768,-1
88,-31744,-9216,0,-0.968750000000,-0.281250000000,38,0,32768,-1
89,-31744,-8192,0,-0.968750000000,-0.250000000000,36,0,32768,-1
90,-31744,-7168,0,-0.968750000000,-0.218750000000,32,0,32768,-1
91,-31744,-6144,0,-0.968750000000,-0.187500000000,28,0,32768,-1
92,-31744,-5120,0,-0.968750000000,-0.156250000000,24,0,32768,-1
93,-31744,-4096,0,-0.968750000000,-0.125000000000,20,0,32768,-1
94,-31744,-3072,0,-0.968750000000,-0.093750000000,14,0,32768,-1
95,-31744,-2048,0,-0.968750000000,-0.062500000000,8,0,32768,-1
96,-31744,-1024,0,-0.968750000000,-0.031250000000,1,0,32768,-1
97,-31744,0,1,-0.968750000000,0.000000000000,0,0,31744,1023
98,-31744,1024,1,-0.968750000000,0.031250000000,0,0,30720,2047
99,-31744,2048,1,-0.968750000000,0.062500000000,0,0,29696,3071
100,-31744,3072,1,-0.968750000000,0.093750000000,0,0,28672,4095
101,-31744,4096,1,-0.968750000000,0.125000000000,0,0,27648,5119
102,-31744,5120,1,-0.968750000000,0.156250000000,0,0,26624,6143
103,-31744,6144,1,-0.968750000000,0.187500000000,0,0,25601,7166
104,-31744,7168,1,-0.968750000000,0.218750000000,0,0,24577,8190
105,-31744,8192,1,-0.968750000000,0.250000000000,0,0,23553,9214
106,-31744,9216,1,-0.968750000000,0.281250000000,0,0,22529,10238
107,-31744,10240,1,-0.968750000000,0.312500000000,0,0,21505,11262
108,-31744,11264,1,-0.968750000000,0.343750000000,0,0,20512,12255
109,-31744,12288,1,-0.968750000000,0.375000000000,0,0,19639,13128
110,-31744,13312,1,-0.968750000000,0.406250000000,0,0,18869,13898
