combo_idx,c1_mag_q15,c3_mag_q15,safe_flag,c1_mag_real,c3_mag_real,overflow_events,xz_events,max_abs_out,margin_lsb
0,0,0,1,0.000000000000,0.000000000000,0,0,0,32767
1,0,4096,1,0.000000000000,0.125000000000,0,0,4097,28670
2,0,8192,1,0.000000000000,0.250000000000,0,0,8193,24574
3,0,12288,1,0.000000000000,0.375000000000,0,0,12288,20479
4,0,16384,1,0.000000000000,0.500000000000,0,0,16384,16383
5,0,20480,1,0.000000000000,0.625000000000,0,0,20480,12287
6,0,24576,1,0.000000000000,0.750000000000,0,0,24575,8192
7,0,28672,1,0.000000000000,0.875000000000,0,0,28670,4097
8,0,32767,1,0.000000000000,0.999969482422,0,0,32766,1
9,4096,0,1,0.125000000000,0.000000000000,0,0,4098,28669
10,4096,4096,1,0.125000000000,0.125000000000,0,0,8194,24573
11,4096,8192,1,0.125000000000,0.250000000000,0,0,12289,20478
12,4096,12288,1,0.125000000000,0.375000000000,0,0,16384,16383
13,4096,16384,1,0.125000000000,0.500000000000,0,0,20480,12287
14,4096,20480,1,0.125000000000,0.625000000000,0,0,24576,8191
15,4096,24576,1,0.125000000000,0.750000000000,0,0,28672,4095
16,4096,28672,1,0.125000000000,0.875000000000,0,0,32767,0
17,4096,32767,0,0.125000000000,0.999969482422,225,0,32768,-1
18,8192,0,1,0.250000000000,0.000000000000,0,0,8193,24574
19,8192,4096,1,0.250000000000,0.125000000000,0,0,12290,20477
20,8192,8192,1,0.250000000000,0.250000000000,0,0,16385,16382
21,8192,12288,1,0.250000000000,0.375000000000,0,0,20480,12287
22,8192,16384,1,0.250000000000,0.500000000000,0,0,24575,8192
23,8192,20480,1,0.250000000000,0.625000000000,0,0,28672,4095
24,8192,24576,1,0.250000000000,0.750000000000,0,0,32767,0
25,8192,28672,0,0.250000000000,0.875000000000,225,0,32768,-1
26,8192,32767,0,0.250000000000,0.999969482422,385,0,32768,-1
27,12288,0,1,0.375000000000,0.000000000000,0,0,12289,20478
28,12288,4096,1,0.375000000000,0.125000000000,0,0,16385,16382
29,12288,8192,1,0.375000000000,0.250000000000,0,0,20480,12287
30,12288,12288,1,0.375000000000,0.375000000000,0,0,24576,8191
31,12288,16384,1,0.375000000000,0.500000000000,0,0,28671,4096
32,12288,20480,1,0.375000000000,0.625000000000,0,0,32767,0
33,12288,24576,0,0.375000000000,0.750000000000,225,0,32768,-1
34,12288,28672,0,0.375000000000,0.875000000000,257,0,32768,-1
35,12288,32767,0,0.375000000000,0.999969482422,640,0,32768,-1
36,16384,0,1,0.500000000000,0.000000000000,0,0,16384,16383
37,16384,4096,1,0.500000000000,0.125000000000,0,0,20480,12287
38,16384,8192,1,0.500000000000,0.250000000000,0,0,24576,8191
39,16384,12288,1,0.500000000000,0.375000000000,0,0,28671,4096
40,16384,16384,1,0.500000000000,0.500000000000,0,0,32767,0
41,16384,20480,0,0.500000000000,0.625000000000,161,0,32768,-1
42,16384,24576,0,0.500000000000,0.750000000000,448,0,32768,-1
43,16384,28672,0,0.500000000000,0.875000000000,544,0,32768,-1
44,16384,32767,0,0.500000000000,0.999969482422,960,0,32768,-1
45,20480,0,1,0.625000000000,0.000000000000,0,0,20481,12286
46,20480,4096,1,0.625000000000,0.125000000000,0,0,24577,8190
47,20480,8192,1,0.625000000000,0.250000000000,0,0,28672,4095
48,20480,12288,0,0.625000000000,0.375000000000,1,0,32767,0
49,20480,16384,0,0.625000000000,0.500000000000,161,0,32768,-1
50,20480,20480,0,0.625000000000,0.625000000000,448,0,32768,-1
51,20480,24576,0,0.625000000000,0.750000000000,608,0,32768,-1
52,20480,28672,0,0.625000000000,0.875000000000,960,0,32768,-1
53,20480,32767,0,0.625000000000,0.999969482422,1120,0,32768,-1
54,24576,0,1,0.750000000000,0.000000000000,0,0,24576,8191
55,24576,4096,1,0.750000000000,0.125000000000,0,0,28673,4094
56,24576,8192,0,0.750000000000,0.250000000000,1,0,32768,-1
57,24576,12288,0,0.750000000000,0.375000000000,256,0,32768,-1
58,24576,16384,0,0.750000000000,0.500000000000,448,0,32768,-1
59,24576,20480,0,0.750000000000,0.625000000000,608,0,32768,-1
60,24576,24576,0,0.750000000000,0.750000000000,928,0,32768,-1
61,24576,28672,0,0.750000000000,0.875000000000,1280,0,32768,-1
62,24576,32767,0,0.750000000000,0.999969482422,1536,0,32768,-1
63,28672,0,1,0.875000000000,0.000000000000,0,0,28672,4095
64,28672,4096,0,0.875000000000,0.125000000000,1,0,32768,-1
65,28672,8192,0,0.875000000000,0.250000000000,256,0,32768,-1
66,28672,12288,0,0.875000000000,0.375000000000,480,0,32768,-1
67,28672,16384,0,0.875000000000,0.500000000000,736,0,32768,-1
68,28672,20480,0,0.875000000000,0.625000000000,1056,0,32768,-1
69,28672,24576,0,0.875000000000,0.750000000000,1408,0,32768,-1
70,28672,28672,0,0.875000000000,0.875000000000,1632,0,32768,-1
71,28672,32767,0,0.875000000000,0.999969482422,1856,0,32768,-1
72,32767,0,1,0.999969482422,0.000000000000,0,0,32767,0
73,32767,4096,0,0.999969482422,0.125000000000,320,0,32768,-1
74,32767,8192,0,0.999969482422,0.250000000000,608,0,32768,-1
75,32767,12288,0,0.999969482422,0.375000000000,896,0,32768,-1
76,32767,16384,0,0.999969482422,0.500000000000,1248,0,32768,-1
77,32767,20480,0,0.999969482422,0.625000000000,1568,0,32768,-1
78,32767,24576,0,0.999969482422,0.750000000000,1760,0,32768,-1
79,32767,28672,0,0.999969482422,0.875000000000,2176,0,32768,-1
80,32767,32767,0,0.999969482422,0.999969482422,2208,0,32768,-1
