level_idx,sample_idx,input_amp_q15,overflow_events,saturated_outputs,max_abs_out,margin_lsb,safe_flag
0,256,4096,0,0,3864,28903,1
1,256,4672,0,0,4415,28352,1
2,256,5248,0,0,4970,27797,1
3,256,5824,0,0,5528,27239,1
4,256,6400,0,0,6091,26676,1
5,256,6976,0,0,6657,26110,1
6,256,7552,0,0,7229,25538,1
7,256,8128,0,0,7806,24961,1
8,256,8704,0,0,8388,24379,1
9,256,9280,0,0,8976,23791,1
10,256,9856,0,0,9571,23196,1
11,256,10432,0,0,10172,22595,1
12,256,11008,0,0,10781,21986,1
13,256,11584,0,0,11397,21370,1
14,256,12160,0,0,12021,20746,1
15,256,12736,0,0,12654,20113,1
16,256,13312,0,0,13295,19472,1
17,256,13888,0,0,13946,18821,1
18,256,14464,0,0,14606,18161,1
19,256,15040,0,0,15276,17491,1
20,256,15616,0,0,15956,16811,1
21,256,16192,0,0,16647,16120,1
22,256,16768,0,0,17349,15418,1
23,256,17344,0,0,18063,14704,1
24,256,17920,0,0,18789,13978,1
25,256,18496,0,0,19527,13240,1
26,256,19072,0,0,20278,12489,1
27,256,19648,0,0,21041,11726,1
28,256,20224,0,0,21819,10948,1
29,256,20800,0,0,22610,10157,1
30,256,21376,0,0,23416,9351,1
31,256,21952,0,0,24236,8531,1
32,256,22528,0,0,25071,7696,1
33,256,23104,0,0,25922,6845,1
34,256,23680,0,0,26789,5978,1
35,256,24256,0,0,27672,5095,1
36,256,24832,0,0,28572,4195,1
37,256,25408,0,0,29489,3278,1
38,256,25984,0,0,30423,2344,1
39,256,26560,0,0,31375,1392,1
40,256,27136,0,0,32346,421,1
41,256,27712,128,128,32767,0,0
42,256,28288,128,128,32767,0,0
43,256,28864,128,128,32767,0,0
44,256,29440,256,256,32767,0,0
45,256,30016,256,256,32767,0,0
46,256,30592,256,256,32767,0,0
47,256,31168,256,256,32767,0,0
